Story ID,User Level,Description,Risk Level,Story points,Milestone
01.01.01,Entrant,"As an entrant, I want to join the waiting list for a specific event",,,
01.01.02,Entrant,"As an entrant, I want to leave the waiting list for a specific event",,,
01.01.03,Entrant,"As an entrant, I want to be able to see a list of events that I can join the waiting list for",,,
01.01.04,Entrant,"As an entrant, I want to filter events based on my interests and availability",,,
01.02.01,Entrant,"As an entrant, I want to provide my personal information such as name, email and optional phone number in the app",,,
01.02.02,Entrant,"As an entrant, I want to update information such as name, email and contact information on my profile",,,
01.02.03,Entrant,"As an entrant, I want to have a history of events I have registered for, whether I was selected or not",,,
01.02.04,Entrant,"As an entrant, I want to delete my profile if I no longer wish to use the app",,,
01.04.01,Entrant,"As an entrant, I want to receive notification when I am chosen to participate from the waiting list (when I ""win"" the lottery)",,,
01.04.02,Entrant,"As an entrant, I want to receive notification of when I am not chosen on the app (when I ""lose"" the lottery)",,,
01.04.03,Entrant,"As an entrant, I want to opt out of receiving notifications from organizers and admins",,,
01.05.01,Entrant,"As an entrant, I want another chance to be chosen from the waiting list if a selected user declines an invitation to sign up",,,
01.05.02,Entrant,"As an entrant, I want to be able to accept the invitation to register/sign up when chosen to participate in an event",,,
01.05.03,Entrant,"As an entrant, I want to be able to decline an invitation when chosen to participate in an event",,,
01.05.04,Entrant,"As an entrant, I want to know how many total entrants are on the waiting list for an event",,,
01.05.05,Entrant,"As an entrant, I want to be informed about the criteria or guidelines for the lottery selection process",,,
01.06.01,Entrant,"As an entrant, I want to view event details within the app by scanning the promotional QR code",,,
01.06.02,Entrant,"As an entrant, I want to be able to be sign up for an event by from the event details",,,
01.07.01,Entrant,"As an entrant, I want to be identified by my device, so that I don't have to use a username and password",,,
,,,,,
02.01.01,Organizer,As an organizer I want to create a new event and generate a unique promotional QR code that links to the event description and event poster in the app.,,,
02.01.04,Organizer,"As an organizer, I want to set a registration period.",,,
02.02.01,Organizer,As an organizer I want to view the list of entrants who joined my event waiting list,,,
02.02.02,Organizer,As an organizer I want to see on a map where entrants joined my event waiting list from.,,,
02.02.03,Organizer,As an organizer I want to enable or disable the geolocation requirement for my event.,,,
02.03.01,Organizer,As an organizer I want to OPTIONALLY limit the number of entrants who can join my waiting list.,,,
02.04.01,Organizer,As an organizer I want to upload an event poster to the event details page to provide visual information to entrants.,,,
02.04.02,Organizer,As an organizer I want to update an event poster to provide visual information to entrants.,,,
02.05.01,Organizer,"As an organizer I want to send a notification to chosen entrants to sign up for events (This is the notification that they ""won"" the lottery.)",,,
02.05.02,Organizer,As an organizer I want to set the system to sample a specified number of attendees to register for the event.,,,
02.05.03,Organizer,As an organizer I want to be able to draw a replacement applicant from the pooling system when a previously selected applicant cancels or rejects the invitation.,,,
02.06.01,Organizer,As an organizer I want to view a list of all chosen entrants who are invited to apply,,,
02.06.02,Organizer,As an organizer I want to see a list of all the cancelled entrants.,,,
02.06.03,Organizer,As an organizer I want to see a final list of entrants who enrolled for the event,,,
02.06.04,Organizer,As an organizer I want to cancel entrants that did not sign up for the event,,,
02.06.05,Organizer,As an organizer I want to export a final list of entrants who enrolled for the event in CSV format,,,
02.07.01,Organizer,As an organizer I want to send notifications to all entrants on the waiting list,,,
02.07.02,Organizer,As an organizer I want to send notifications to all selected entrants,,,
02.07.03,Organizer,As an organizer I want to send a notification to all cancelled entrants,,,
,,,,,
03.01.01,Admin,"As an administrator, I want to be able to remove events",,,
03.02.01,Admin,"As an administrator, I want to be able to remove profiles",,,
03.03.01,Admin,"As an administrator, I want to be able to remove images",,,
03.04.01,Admin,"As an administrator, I want to be able to browse events",,,
03.05.01,Admin,"As an administrator, I want to be able to browse profiles",,,
03.06.01,Admin,"As an administrator, I want to be able to browse images that are uploaded so I can remove them if necessary",,,
03.07.01,Admin,As an administrator I want to remove organizers that violate app policy,,,
03.08.01,Admin,"As an administrator, I want to review logs of all notifications sent to entrants by organizers",,,